Geography,Contact Crime,Financial Year,Count
EC,Murder,2020/2021,3713
EC,Sexual Offences,2011/2012,9001
EC,Sexual Offences,2012/2013,9288
EC,Sexual Offences,2013/2014,9616
EC,Sexual Offences,2014/2015,9224
EC,Sexual Offences,2015/2016,8797
EC,Sexual Offences,2016/2017,8050
EC,Sexual Offences,2017/2018,8094
EC,Sexual Offences,2018/2019,8731
EC,Sexual Offences,2019/2020,8708
EC,Sexual Offences,2020/2021,7445
EC,Attempted Murder,2011/2012,1721
EC,Attempted Murder,2012/2013,1755
EC,Attempted Murder,2013/2014,1853
EC,Attempted Murder,2014/2015,1832
EC,Attempted Murder,2015/2016,2052
EC,Attempted Murder,2016/2017,2110
EC,Attempted Murder,2017/2018,2232
EC,Attempted Murder,2018/2019,2305
EC,Attempted Murder,2019/2020,2409
EC,Attempted Murder,2020/2021,2104
EC,Assault With The Intent To Inflict Grievous Bodily Harm,2011/2012,29275
EC,Assault With The Intent To Inflict Grievous Bodily Harm,2012/2013,27788
EC,Assault With The Intent To Inflict Grievous Bodily Harm,2013/2014,27361
EC,Assault With The Intent To Inflict Grievous Bodily Harm,2014/2015,25431
EC,Assault With The Intent To Inflict Grievous Bodily Harm,2015/2016,24818
EC,Assault With The Intent To Inflict Grievous Bodily Harm,2016/2017,23241
EC,Assault With The Intent To Inflict Grievous Bodily Harm,2017/2018,23133
EC,Assault With The Intent To Inflict Grievous Bodily Harm,2018/2019,24125
EC,Assault With The Intent To Inflict Grievous Bodily Harm,2019/2020,23376
EC,Assault With The Intent To Inflict Grievous Bodily Harm,2020/2021,20238
EC,Common Assault,2011/2012,15159
EC,Common Assault,2012/2013,14168
EC,Common Assault,2013/2014,13330
EC,Common Assault,2014/2015,11848
EC,Common Assault,2015/2016,11475
EC,Common Assault,2016/2017,11100
EC,Common Assault,2017/2018,11171
EC,Common Assault,2018/2019,11943
EC,Common Assault,2019/2020,12527
EC,Common Assault,2020/2021,11399
EC,Common Robbery,2011/2012,4878
EC,Common Robbery,2012/2013,4565
EC,Common Robbery,2013/2014,3988
EC,Common Robbery,2014/2015,3753
EC,Common Robbery,2015/2016,3690
EC,Common Robbery,2016/2017,3707
EC,Common Robbery,2017/2018,3463
EC,Common Robbery,2018/2019,3769
EC,Common Robbery,2019/2020,3663
EC,Common Robbery,2020/2021,2736
EC,Robbery With Aggravating Circumstances,2011/2012,12476
EC,Robbery With Aggravating Circumstances,2012/2013,11751
EC,Robbery With Aggravating Circumstances,2013/2014,13443
EC,Robbery With Aggravating Circumstances,2014/2015,13245
EC,Robbery With Aggravating Circumstances,2015/2016,12777
EC,Robbery With Aggravating Circumstances,2016/2017,13688
EC,Robbery With Aggravating Circumstances,2017/2018,13485
EC,Robbery With Aggravating Circumstances,2018/2019,13578
EC,Robbery With Aggravating Circumstances,2019/2020,13983
EC,Robbery With Aggravating Circumstances,2020/2021,11458
FS,Murder,2011/2012,954
FS,Murder,2012/2013,1019
FS,Murder,2013/2014,942
FS,Murder,2014/2015,943
FS,Murder,2015/2016,993
FS,Murder,2016/2017,950
FS,Murder,2017/2018,1054
FS,Murder,2018/2019,1000
FS,Murder,2019/2020,939
FS,Murder,2020/2021,834
FS,Sexual Offences,2011/2012,4785
FS,Sexual Offences,2012/2013,5098
FS,Sexual Offences,2013/2014,4584
FS,Sexual Offences,2014/2015,4094
FS,Sexual Offences,2015/2016,3928
FS,Sexual Offences,2016/2017,3488
FS,Sexual Offences,2017/2018,3284
FS,Sexual Offences,2018/2019,3457
FS,Sexual Offences,2019/2020,3746
FS,Sexual Offences,2020/2021,2971
FS,Attempted Murder,2011/2012,855
FS,Attempted Murder,2012/2013,938
FS,Attempted Murder,2013/2014,906
FS,Attempted Murder,2014/2015,816
FS,Attempted Murder,2015/2016,787
FS,Attempted Murder,2016/2017,694
FS,Attempted Murder,2017/2018,617
FS,Attempted Murder,2018/2019,844
FS,Attempted Murder,2019/2020,736
FS,Attempted Murder,2020/2021,727
FS,Assault With The Intent To Inflict Grievous Bodily Harm,2011/2012,14955
FS,Assault With The Intent To Inflict Grievous Bodily Harm,2012/2013,15317
FS,Assault With The Intent To Inflict Grievous Bodily Harm,2013/2014,14465
FS,Assault With The Intent To Inflict Grievous Bodily Harm,2014/2015,13458
FS,Assault With The Intent To Inflict Grievous Bodily Harm,2015/2016,13116
FS,Assault With The Intent To Inflict Grievous Bodily Harm,2016/2017,11702
FS,Assault With The Intent To Inflict Grievous Bodily Harm,2017/2018,10842
FS,Assault With The Intent To Inflict Grievous Bodily Harm,2018/2019,11120
FS,Assault With The Intent To Inflict Grievous Bodily Harm,2019/2020,10887
FS,Assault With The Intent To Inflict Grievous Bodily Harm,2020/2021,9550
FS,Common Assault,2011/2012,17944
FS,Common Assault,2012/2013,17623
FS,Common Assault,2013/2014,17064
FS,Common Assault,2014/2015,15243
FS,Common Assault,2015/2016,15194
FS,Common Assault,2016/2017,13568
FS,Common Assault,2017/2018,12701
FS,Common Assault,2018/2019,13032
FS,Common Assault,2019/2020,12649
FS,Common Assault,2020/2021,12184
FS,Common Robbery,2011/2012,2670
FS,Common Robbery,2012/2013,2694
FS,Common Robbery,2013/2014,2637
FS,Common Robbery,2014/2015,2521
FS,Common Robbery,2015/2016,2304
FS,Common Robbery,2016/2017,2192
FS,Common Robbery,2017/2018,2195
FS,Common Robbery,2018/2019,2087
FS,Common Robbery,2019/2020,1983
FS,Common Robbery,2020/2021,1410
FS,Robbery With Aggravating Circumstances,2011/2012,5323
FS,Robbery With Aggravating Circumstances,2012/2013,5791
FS,Robbery With Aggravating Circumstances,2013/2014,5347
FS,Robbery With Aggravating Circumstances,2014/2015,5239
FS,Robbery With Aggravating Circumstances,2015/2016,4778
FS,Robbery With Aggravating Circumstances,2016/2017,5147
FS,Robbery With Aggravating Circumstances,2017/2018,5032
FS,Robbery With Aggravating Circumstances,2018/2019,5339
FS,Robbery With Aggravating Circumstances,2019/2020,5119
FS,Robbery With Aggravating Circumstances,2020/2021,3992
GT,Murder,2011/2012,2995
GT,Murder,2012/2013,2988
GT,Murder,2013/2014,3325
GT,Murder,2014/2015,3671
GT,Murder,2015/2016,3842
GT,Murder,2016/2017,4101
GT,Murder,2017/2018,4233
GT,Murder,2018/2019,4495
GT,Murder,2019/2020,4555
GT,Murder,2020/2021,4079
GT,Sexual Offences,2011/2012,11512
GT,Sexual Offences,2012/2013,11113
GT,Sexual Offences,2013/2014,10264
GT,Sexual Offences,2014/2015,9902
GT,Sexual Offences,2015/2016,9510
GT,Sexual Offences,2016/2017,9566
GT,Sexual Offences,2017/2018,10116
GT,Sexual Offences,2018/2019,10752
GT,Sexual Offences,2019/2020,10810
GT,Sexual Offences,2020/2021,9749
GT,Attempted Murder,2011/2012,3432
GT,Attempted Murder,2012/2013,3571
GT,Attempted Murder,2013/2014,3866
GT,Attempted Murder,2014/2015,4202
GT,Attempted Murder,2015/2016,4574
GT,Attempted Murder,2016/2017,4872
GT,Attempted Murder,2017/2018,4462
GT,Attempted Murder,2018/2019,4455
GT,Attempted Murder,2019/2020,4639
GT,Attempted Murder,2020/2021,4312
GT,Assault With The Intent To Inflict Grievous Bodily Harm,2011/2012,42939
GT,Assault With The Intent To Inflict Grievous Bodily Harm,2012/2013,40430
GT,Assault With The Intent To Inflict Grievous Bodily Harm,2013/2014,41182
GT,Assault With The Intent To Inflict Grievous Bodily Harm,2014/2015,41830
GT,Assault With The Intent To Inflict Grievous Bodily Harm,2015/2016,42790
GT,Assault With The Intent To Inflict Grievous Bodily Harm,2016/2017,39684
GT,Assault With The Intent To Inflict Grievous Bodily Harm,2017/2018,39552
GT,Assault With The Intent To Inflict Grievous Bodily Harm,2018/2019,39805
GT,Assault With The Intent To Inflict Grievous Bodily Harm,2019/2020,38362
GT,Assault With The Intent To Inflict Grievous Bodily Harm,2020/2021,33605
GT,Common Assault,2011/2012,48437
GT,Common Assault,2012/2013,44387
GT,Common Assault,2013/2014,44159
GT,Common Assault,2014/2015,42918
GT,Common Assault,2015/2016,44255
GT,Common Assault,2016/2017,42083
GT,Common Assault,2017/2018,43587
GT,Common Assault,2018/2019,45590
GT,Common Assault,2019/2020,47356
GT,Common Assault,2020/2021,42621
GT,Common Robbery,2011/2012,15826
GT,Common Robbery,2012/2013,15404
GT,Common Robbery,2013/2014,15579
GT,Common Robbery,2014/2015,17379
GT,Common Robbery,2015/2016,18051
GT,Common Robbery,2016/2017,17367
GT,Common Robbery,2017/2018,16984
GT,Common Robbery,2018/2019,17757
GT,Common Robbery,2019/2020,18088
GT,Common Robbery,2020/2021,13436
GT,Robbery With Aggravating Circumstances,2011/2012,35148
GT,Robbery With Aggravating Circumstances,2012/2013,35717
GT,Robbery With Aggravating Circumstances,2013/2014,42506
GT,Robbery With Aggravating Circumstances,2014/2015,47362
GT,Robbery With Aggravating Circumstances,2015/2016,49792
GT,Robbery With Aggravating Circumstances,2016/2017,53793
GT,Robbery With Aggravating Circumstances,2017/2018,51706
GT,Robbery With Aggravating Circumstances,2018/2019,52040
GT,Robbery With Aggravating Circumstances,2019/2020,53927
GT,Robbery With Aggravating Circumstances,2020/2021,44109
KZN,Murder,2011/2012,3418
KZN,Murder,2012/2013,3623
KZN,Murder,2013/2014,3616
KZN,Murder,2014/2015,3810
KZN,Murder,2015/2016,3929
KZN,Murder,2016/2017,4014
KZN,Murder,2017/2018,4382
KZN,Murder,2018/2019,4395
KZN,Murder,2019/2020,4859
KZN,Murder,2020/2021,4825
KZN,Sexual Offences,2011/2012,11034
KZN,Sexual Offences,2012/2013,10964
KZN,Sexual Offences,2013/2014,9889
KZN,Sexual Offences,2014/2015,9079
KZN,Sexual Offences,2015/2016,8947
KZN,Sexual Offences,2016/2017,8484
KZN,Sexual Offences,2017/2018,8759
KZN,Sexual Offences,2018/2019,9308
KZN,Sexual Offences,2019/2020,9809
KZN,Sexual Offences,2020/2021,8201
KZN,Attempted Murder,2011/2012,3643
KZN,Attempted Murder,2012/2013,3827
KZN,Attempted Murder,2013/2014,3835
KZN,Attempted Murder,2014/2015,3918
KZN,Attempted Murder,2015/2016,4041
KZN,Attempted Murder,2016/2017,3914
KZN,Attempted Murder,2017/2018,4099
KZN,Attempted Murder,2018/2019,4203
KZN,Attempted Murder,2019/2020,4161
KZN,Attempted Murder,2020/2021,4391
KZN,Assault With The Intent To Inflict Grievous Bodily Harm,2011/2012,29504
KZN,Assault With The Intent To Inflict Grievous Bodily Harm,2012/2013,28832
KZN,Assault With The Intent To Inflict Grievous Bodily Harm,2013/2014,28982
KZN,Assault With The Intent To Inflict Grievous Bodily Harm,2014/2015,29201
KZN,Assault With The Intent To Inflict Grievous Bodily Harm,2015/2016,28665
KZN,Assault With The Intent To Inflict Grievous Bodily Harm,2016/2017,26824
KZN,Assault With The Intent To Inflict Grievous Bodily Harm,2017/2018,26693
KZN,Assault With The Intent To Inflict Grievous Bodily Harm,2018/2019,26878
KZN,Assault With The Intent To Inflict Grievous Bodily Harm,2019/2020,27418
KZN,Assault With The Intent To Inflict Grievous Bodily Harm,2020/2021,23531
KZN,Common Assault,2011/2012,31841
KZN,Common Assault,2012/2013,30087
KZN,Common Assault,2013/2014,26307
KZN,Common Assault,2014/2015,24011
KZN,Common Assault,2015/2016,23703
KZN,Common Assault,2016/2017,22285
KZN,Common Assault,2017/2018,22842
KZN,Common Assault,2018/2019,23521
KZN,Common Assault,2019/2020,24900
KZN,Common Assault,2020/2021,21480
KZN,Common Robbery,2011/2012,7586
KZN,Common Robbery,2012/2013,8188
KZN,Common Robbery,2013/2014,8397
KZN,Common Robbery,2014/2015,7857
KZN,Common Robbery,2015/2016,7524
KZN,Common Robbery,2016/2017,7305
KZN,Common Robbery,2017/2018,6596
KZN,Common Robbery,2018/2019,7090
KZN,Common Robbery,2019/2020,7183
KZN,Common Robbery,2020/2021,5459
KZN,Robbery With Aggravating Circumstances,2011/2012,18417
KZN,Robbery With Aggravating Circumstances,2012/2013,19923
KZN,Robbery With Aggravating Circumstances,2013/2014,20957
KZN,Robbery With Aggravating Circumstances,2014/2015,20881
KZN,Robbery With Aggravating Circumstances,2015/2016,21061
KZN,Robbery With Aggravating Circumstances,2016/2017,22327
KZN,Robbery With Aggravating Circumstances,2017/2018,21543
KZN,Robbery With Aggravating Circumstances,2018/2019,22110
KZN,Robbery With Aggravating Circumstances,2019/2020,22824
KZN,Robbery With Aggravating Circumstances,2020/2021,20964
LIM,Murder,2011/2012,734
LIM,Murder,2012/2013,701
LIM,Murder,2013/2014,728
LIM,Murder,2014/2015,777
LIM,Murder,2015/2016,898
LIM,Murder,2016/2017,813
LIM,Murder,2017/2018,911
LIM,Murder,2018/2019,914
LIM,Murder,2019/2020,882
LIM,Murder,2020/2021,717
LIM,Sexual Offences,2011/2012,4836
LIM,Sexual Offences,2012/2013,4866
LIM,Sexual Offences,2013/2014,4423
LIM,Sexual Offences,2014/2015,4312
LIM,Sexual Offences,2015/2016,4369
LIM,Sexual Offences,2016/2017,3828
LIM,Sexual Offences,2017/2018,3862
LIM,Sexual Offences,2018/2019,4060
LIM,Sexual Offences,2019/2020,3990
LIM,Sexual Offences,2020/2021,3720
LIM,Attempted Murder,2011/2012,696
LIM,Attempted Murder,2012/2013,701
LIM,Attempted Murder,2013/2014,748
LIM,Attempted Murder,2014/2015,793
LIM,Attempted Murder,2015/2016,875
LIM,Attempted Murder,2016/2017,829
LIM,Attempted Murder,2017/2018,884
LIM,Attempted Murder,2018/2019,834
LIM,Attempted Murder,2019/2020,794
LIM,Attempted Murder,2020/2021,741
LIM,Assault With The Intent To Inflict Grievous Bodily Harm,2011/2012,14663
LIM,Assault With The Intent To Inflict Grievous Bodily Harm,2012/2013,13710
LIM,Assault With The Intent To Inflict Grievous Bodily Harm,2013/2014,12645
LIM,Assault With The Intent To Inflict Grievous Bodily Harm,2014/2015,13511
LIM,Assault With The Intent To Inflict Grievous Bodily Harm,2015/2016,14143
LIM,Assault With The Intent To Inflict Grievous Bodily Harm,2016/2017,12948
LIM,Assault With The Intent To Inflict Grievous Bodily Harm,2017/2018,12005
LIM,Assault With The Intent To Inflict Grievous Bodily Harm,2018/2019,12116
LIM,Assault With The Intent To Inflict Grievous Bodily Harm,2019/2020,11368
LIM,Assault With The Intent To Inflict Grievous Bodily Harm,2020/2021,9976
LIM,Common Assault,2011/2012,10475
LIM,Common Assault,2012/2013,9570
LIM,Common Assault,2013/2014,9044
LIM,Common Assault,2014/2015,9073
LIM,Common Assault,2015/2016,9838
LIM,Common Assault,2016/2017,8373
LIM,Common Assault,2017/2018,7519
LIM,Common Assault,2018/2019,7428
LIM,Common Assault,2019/2020,7381
LIM,Common Assault,2020/2021,7645
LIM,Common Robbery,2011/2012,3770
LIM,Common Robbery,2012/2013,3321
LIM,Common Robbery,2013/2014,3202
LIM,Common Robbery,2014/2015,3382
LIM,Common Robbery,2015/2016,3545
LIM,Common Robbery,2016/2017,3228
LIM,Common Robbery,2017/2018,2839
LIM,Common Robbery,2018/2019,2908
LIM,Common Robbery,2019/2020,2899
LIM,Common Robbery,2020/2021,2216
LIM,Robbery With Aggravating Circumstances,2011/2012,3652
LIM,Robbery With Aggravating Circumstances,2012/2013,3917
LIM,Robbery With Aggravating Circumstances,2013/2014,5163
LIM,Robbery With Aggravating Circumstances,2014/2015,6123
LIM,Robbery With Aggravating Circumstances,2015/2016,6723
LIM,Robbery With Aggravating Circumstances,2016/2017,6745
LIM,Robbery With Aggravating Circumstances,2017/2018,7048
LIM,Robbery With Aggravating Circumstances,2018/2019,7006
LIM,Robbery With Aggravating Circumstances,2019/2020,7466
LIM,Robbery With Aggravating Circumstances,2020/2021,6105
MP,Murder,2011/2012,726
MP,Murder,2012/2013,693
MP,Murder,2013/2014,806
MP,Murder,2014/2015,831
MP,Murder,2015/2016,859
MP,Murder,2016/2017,954
MP,Murder,2017/2018,922
MP,Murder,2018/2019,996
MP,Murder,2019/2020,1046
MP,Murder,2020/2021,935
MP,Sexual Offences,2011/2012,3955
MP,Sexual Offences,2012/2013,4065
MP,Sexual Offences,2013/2014,3797
MP,Sexual Offences,2014/2015,3474
MP,Sexual Offences,2015/2016,3331
MP,Sexual Offences,2016/2017,3216
MP,Sexual Offences,2017/2018,3198
MP,Sexual Offences,2018/2019,3470
MP,Sexual Offences,2019/2020,3513
MP,Sexual Offences,2020/2021,3134
MP,Attempted Murder,2011/2012,763
MP,Attempted Murder,2012/2013,721
MP,Attempted Murder,2013/2014,764
MP,Attempted Murder,2014/2015,703
MP,Attempted Murder,2015/2016,797
MP,Attempted Murder,2016/2017,951
MP,Attempted Murder,2017/2018,897
MP,Attempted Murder,2018/2019,1090
MP,Attempted Murder,2019/2020,1108
MP,Attempted Murder,2020/2021,1016
MP,Assault With The Intent To Inflict Grievous Bodily Harm,2011/2012,13025
MP,Assault With The Intent To Inflict Grievous Bodily Harm,2012/2013,11657
MP,Assault With The Intent To Inflict Grievous Bodily Harm,2013/2014,10712
MP,Assault With The Intent To Inflict Grievous Bodily Harm,2014/2015,10778
MP,Assault With The Intent To Inflict Grievous Bodily Harm,2015/2016,11359
MP,Assault With The Intent To Inflict Grievous Bodily Harm,2016/2017,10896
MP,Assault With The Intent To Inflict Grievous Bodily Harm,2017/2018,10690
MP,Assault With The Intent To Inflict Grievous Bodily Harm,2018/2019,11407
MP,Assault With The Intent To Inflict Grievous Bodily Harm,2019/2020,11250
MP,Assault With The Intent To Inflict Grievous Bodily Harm,2020/2021,9682
MP,Common Assault,2011/2012,9187
MP,Common Assault,2012/2013,8211
MP,Common Assault,2013/2014,7467
MP,Common Assault,2014/2015,7510
MP,Common Assault,2015/2016,7649
MP,Common Assault,2016/2017,7712
MP,Common Assault,2017/2018,7641
MP,Common Assault,2018/2019,8204
MP,Common Assault,2019/2020,8423
MP,Common Assault,2020/2021,7857
MP,Common Robbery,2011/2012,3324
MP,Common Robbery,2012/2013,3147
MP,Common Robbery,2013/2014,2977
MP,Common Robbery,2014/2015,2934
MP,Common Robbery,2015/2016,2746
MP,Common Robbery,2016/2017,2950
MP,Common Robbery,2017/2018,2541
MP,Common Robbery,2018/2019,2627
MP,Common Robbery,2019/2020,2610
MP,Common Robbery,2020/2021,1860
MP,Robbery With Aggravating Circumstances,2011/2012,5681
MP,Robbery With Aggravating Circumstances,2012/2013,5198
MP,Robbery With Aggravating Circumstances,2013/2014,5252
MP,Robbery With Aggravating Circumstances,2014/2015,5656
MP,Robbery With Aggravating Circumstances,2015/2016,5996
MP,Robbery With Aggravating Circumstances,2016/2017,6702
MP,Robbery With Aggravating Circumstances,2017/2018,6757
MP,Robbery With Aggravating Circumstances,2018/2019,7091
MP,Robbery With Aggravating Circumstances,2019/2020,7672
MP,Robbery With Aggravating Circumstances,2020/2021,7004
NW,Murder,2011/2012,799
NW,Murder,2012/2013,867
NW,Murder,2013/2014,824
NW,Murder,2014/2015,853
NW,Murder,2015/2016,907
NW,Murder,2016/2017,901
NW,Murder,2017/2018,950
NW,Murder,2018/2019,961
NW,Murder,2019/2020,864
NW,Murder,2020/2021,734
NW,Sexual Offences,2011/2012,4885
NW,Sexual Offences,2012/2013,5228
NW,Sexual Offences,2013/2014,4616
NW,Sexual Offences,2014/2015,4585
NW,Sexual Offences,2015/2016,4164
NW,Sexual Offences,2016/2017,4326
NW,Sexual Offences,2017/2018,4182
NW,Sexual Offences,2018/2019,4021
NW,Sexual Offences,2019/2020,3824
NW,Sexual Offences,2020/2021,3262
NW,Attempted Murder,2011/2012,762
NW,Attempted Murder,2012/2013,912
NW,Attempted Murder,2013/2014,1069
NW,Attempted Murder,2014/2015,984
NW,Attempted Murder,2015/2016,899
NW,Attempted Murder,2016/2017,898
NW,Attempted Murder,2017/2018,864
NW,Attempted Murder,2018/2019,857
NW,Attempted Murder,2019/2020,765
NW,Attempted Murder,2020/2021,799
NW,Assault With The Intent To Inflict Grievous Bodily Harm,2011/2012,14193
NW,Assault With The Intent To Inflict Grievous Bodily Harm,2012/2013,14189
NW,Assault With The Intent To Inflict Grievous Bodily Harm,2013/2014,13464
NW,Assault With The Intent To Inflict Grievous Bodily Harm,2014/2015,13334
NW,Assault With The Intent To Inflict Grievous Bodily Harm,2015/2016,13614
NW,Assault With The Intent To Inflict Grievous Bodily Harm,2016/2017,12731
NW,Assault With The Intent To Inflict Grievous Bodily Harm,2017/2018,13131
NW,Assault With The Intent To Inflict Grievous Bodily Harm,2018/2019,13250
NW,Assault With The Intent To Inflict Grievous Bodily Harm,2019/2020,12712
NW,Assault With The Intent To Inflict Grievous Bodily Harm,2020/2021,11003
NW,Common Assault,2011/2012,7634
NW,Common Assault,2012/2013,7194
NW,Common Assault,2013/2014,6750
NW,Common Assault,2014/2015,6930
NW,Common Assault,2015/2016,6942
NW,Common Assault,2016/2017,7021
NW,Common Assault,2017/2018,7828
NW,Common Assault,2018/2019,8611
NW,Common Assault,2019/2020,8733
NW,Common Assault,2020/2021,8098
NW,Common Robbery,2011/2012,2473
NW,Common Robbery,2012/2013,2406
NW,Common Robbery,2013/2014,2341
NW,Common Robbery,2014/2015,2419
NW,Common Robbery,2015/2016,2417
NW,Common Robbery,2016/2017,2589
NW,Common Robbery,2017/2018,2824
NW,Common Robbery,2018/2019,2764
NW,Common Robbery,2019/2020,2581
NW,Common Robbery,2020/2021,2007
NW,Robbery With Aggravating Circumstances,2011/2012,5366
NW,Robbery With Aggravating Circumstances,2012/2013,5271
NW,Robbery With Aggravating Circumstances,2013/2014,5409
NW,Robbery With Aggravating Circumstances,2014/2015,5977
NW,Robbery With Aggravating Circumstances,2015/2016,6281
NW,Robbery With Aggravating Circumstances,2016/2017,7017
NW,Robbery With Aggravating Circumstances,2017/2018,6825
NW,Robbery With Aggravating Circumstances,2018/2019,7023
NW,Robbery With Aggravating Circumstances,2019/2020,6807
NW,Robbery With Aggravating Circumstances,2020/2021,5733
NC,Murder,2011/2012,366
NC,Murder,2012/2013,412
NC,Murder,2013/2014,437
NC,Murder,2014/2015,413
NC,Murder,2015/2016,372
NC,Murder,2016/2017,344
NC,Murder,2017/2018,340
NC,Murder,2018/2019,322
NC,Murder,2019/2020,326
NC,Murder,2020/2021,287
NC,Sexual Offences,2011/2012,1722
NC,Sexual Offences,2012/2013,1826
NC,Sexual Offences,2013/2014,1731
NC,Sexual Offences,2014/2015,1578
NC,Sexual Offences,2015/2016,1719
NC,Sexual Offences,2016/2017,1587
NC,Sexual Offences,2017/2018,1538
NC,Sexual Offences,2018/2019,1578
NC,Sexual Offences,2019/2020,1590
NC,Sexual Offences,2020/2021,1295
NC,Attempted Murder,2011/2012,548
NC,Attempted Murder,2012/2013,543
NC,Attempted Murder,2013/2014,603
NC,Attempted Murder,2014/2015,562
NC,Attempted Murder,2015/2016,658
NC,Attempted Murder,2016/2017,550
NC,Attempted Murder,2017/2018,480
NC,Attempted Murder,2018/2019,532
NC,Attempted Murder,2019/2020,468
NC,Attempted Murder,2020/2021,474
NC,Assault With The Intent To Inflict Grievous Bodily Harm,2011/2012,8421
NC,Assault With The Intent To Inflict Grievous Bodily Harm,2012/2013,8664
NC,Assault With The Intent To Inflict Grievous Bodily Harm,2013/2014,8716
NC,Assault With The Intent To Inflict Grievous Bodily Harm,2014/2015,8813
NC,Assault With The Intent To Inflict Grievous Bodily Harm,2015/2016,8889
NC,Assault With The Intent To Inflict Grievous Bodily Harm,2016/2017,8173
NC,Assault With The Intent To Inflict Grievous Bodily Harm,2017/2018,7723
NC,Assault With The Intent To Inflict Grievous Bodily Harm,2018/2019,7790
NC,Assault With The Intent To Inflict Grievous Bodily Harm,2019/2020,7594
NC,Assault With The Intent To Inflict Grievous Bodily Harm,2020/2021,6356
NC,Common Assault,2011/2012,5065
NC,Common Assault,2012/2013,4896
NC,Common Assault,2013/2014,4777
NC,Common Assault,2014/2015,4803
NC,Common Assault,2015/2016,4598
NC,Common Assault,2016/2017,4440
NC,Common Assault,2017/2018,4375
NC,Common Assault,2018/2019,4481
NC,Common Assault,2019/2020,4533
NC,Common Assault,2020/2021,4301
NC,Common Robbery,2011/2012,949
NC,Common Robbery,2012/2013,1069
NC,Common Robbery,2013/2014,1277
NC,Common Robbery,2014/2015,1262
